episode,x,y,z,score,action
1,-3.5025958171265836,1.002346542353766,29.44918884473222,6.485691123166262,"[464.9776300285546, 463.825526462975, 459.0771612137703, 459.02680607085733]"
2,-13.36566729892101,-0.12133271502870366,0.0,6.26762356929273,"[453.86690782018167, 461.1074752017386, 457.4330866075242, 453.90291407677466]"
3,-13.815237857870363,-0.6326100862315658,0.0,6.263929572202505,"[453.1190849415879, 458.403965897713, 463.8646308264916, 455.312790033007]"
4,-19.596926475858986,23.585595012248277,0.0,6.137008359644112,"[456.08770159845585, 467.6463719444476, 475.72972925280055, 462.0931343293068]"
5,-11.755037678095052,9.374751637908075,0.0,6.235960192080814,"[458.4148890985541, 461.53118837626084, 464.7430841866187, 460.9423649010349]"
6,-10.57354694324714,20.32874385806625,0.0,6.192357269212671,"[459.49081131173324, 473.51457768029917, 473.55439957790776, 458.72003874019657]"
7,-11.673239402240661,11.91821526998071,0.0,6.224899830142956,"[462.9415016768068, 468.5715545030169, 469.2121734706871, 458.0398548697517]"
8,-12.927281355154015,3.8497235957519083,0.0,6.25373614111046,"[463.9279005748862, 464.6700047945815, 479.7147398147122, 462.72028139451885]"
9,-23.99263378923546,3.856963907723771,0.0,6.2041334419674765,"[464.41910633216435, 465.74886176654525, 492.56459431646283, 465.5976202508404]"
10,-19.331440760873217,-0.5669749024675933,0.0,6.239332472851191,"[468.2933627404217, 467.484535475313, 475.5006844023953, 466.1213865603138]"
11,-21.701432482308466,9.939503711224,0.0,6.189095854255733,"[468.7747089312664, 465.04103836211976, 477.4718529493565, 465.24271786154907]"
12,-0.9765355999234463,4.115684328654126,0.0,6.303719462797784,"[472.3783931131959, 473.3140638186242, 466.3572356129648, 470.9473042766896]"
13,-4.074904583431953,2.4336664506206507,0.0,6.297902324718106,"[470.728177883818, 469.4791617194602, 466.8164205628819, 469.7093771950202]"
14,-1.3134938145208217,7.872072448839455,0.0,6.286072827273641,"[475.63931819254105, 471.0533302849426, 468.784339052906, 473.79861454256667]"
15,-2.297421941673232,5.772586724503571,0.0,6.291037773365018,"[473.4947924997253, 471.08102819084934, 467.47162081165334, 472.6931015248012]"
16,-5.8988921790736795,3.7442833113739735,0.0,6.2855095200864035,"[480.5809812537824, 483.1609724864713, 472.20572010655155, 481.26201330227315]"
17,-9.618350488643802,4.565933415113066,0.0,6.266210470995357,"[478.5469410683563, 480.5386887931506, 468.96361209195595, 479.05958493484445]"
18,-10.660908117854676,5.60645284515359,0.0,6.2566501460453825,"[485.2386914960202, 482.5015119647062, 472.5780991687576, 481.52390835780193]"
19,-11.694321807261835,4.993551551405468,0.0,6.256245228641578,"[483.0822249294982, 482.9139254736213, 472.0076084239723, 480.2047518237251]"
20,-13.330219016437079,5.308671619497986,0.0,6.24665436920078,"[476.3329834423389, 475.5134271002734, 465.78074281511056, 472.59222421739474]"
21,-14.538736678051123,-0.5673844513141383,0.0,6.2603977459386595,"[486.5481388496428, 478.5342072069813, 471.7079092837311, 470.6592539131002]"
22,-21.58711998037398,26.751551011360778,0.0,6.114393939480675,"[481.17117288477385, 480.15172956275296, 498.2307279676615, 428.2542458268392]"
23,-0.36627599667751165,7.309005680972737,0.0,6.293360248252053,"[483.5378769778933, 479.1497492957668, 482.64373076431417, 453.4020693807275]"
