time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,action,reward,done
0.02,0.0,0.0,10.003441173199175,0.0,0.0,0.0,0.0,0.0,0.3441173199174869,0.0,0.0,0.0,[670.3181202697252],-8.999655882680083,False
0.04,0.0,0.0,10.013671149647905,0.0,0.0,0.0,0.0,0.0,0.6788803249556119,0.0,0.0,0.0,[664.5727589855464],-8.99863288503521,False
0.06,0.0,0.0,10.030662945840632,0.0,0.0,0.0,0.0,0.0,1.0202992943171654,0.0,0.0,0.0,[668.9421082500342],-8.996933705415938,False
0.08,0.0,0.0,10.05457126907338,0.0,0.0,0.0,0.0,0.0,1.370533028957559,0.0,0.0,0.0,[674.758542675291],-8.994542873092662,False
0.1,0.0,0.0,10.08534582151407,0.0,0.0,0.0,0.0,0.0,1.7069222151113328,0.0,0.0,0.0,[666.6931522016171],-8.991465417848593,False
0.12000000000000001,0.0,0.0,10.122905308266077,0.0,0.0,0.0,0.0,0.0,2.049026460089349,0.0,0.0,0.0,[670.8854869043929],-8.987709469173392,False
0.14,0.0,0.0,10.16738099010514,0.0,0.0,0.0,0.0,0.0,2.3985417238169777,0.0,0.0,0.0,[676.2460814924284],-8.983261900989486,False
0.16,0.0,0.0,10.21883925883965,0.0,0.0,0.0,0.0,0.0,2.74728514963394,0.0,0.0,0.0,[676.7158059559127],-8.978116074116034,False
0.18,0.0,0.0,10.277238518900301,0.0,0.0,0.0,0.0,0.0,3.092640856431144,0.0,0.0,0.0,[675.7213465404506],-8.97227614810997,False
0.19999999999999998,0.0,0.0,10.342414023825658,0.0,0.0,0.0,0.0,0.0,3.4249096361045126,0.0,0.0,0.0,[668.8557388522901],-8.965758597617434,False
0.21999999999999997,0.0,0.0,10.414164997846544,0.0,0.0,0.0,0.0,0.0,3.7501877659840894,0.0,0.0,0.0,[665.8281917555134],-8.958583500215346,False
0.23999999999999996,0.0,0.0,10.492518054701227,0.0,0.0,0.0,0.0,0.0,4.085117919484225,0.0,0.0,0.0,[673.2496406760059],-8.95074819452988,False
0.25999999999999995,0.0,0.0,10.577405207532717,0.0,0.0,0.0,0.0,0.0,4.403597363664793,0.0,0.0,0.0,[664.6268749818248],-8.942259479246728,False
0.27999999999999997,0.0,0.0,10.668778723949549,0.0,0.0,0.0,0.0,0.0,4.733754278018507,0.0,0.0,0.0,[673.536871177519],-8.933122127605046,False
0.3,0.0,0.0,10.766836114596767,0.0,0.0,0.0,0.0,0.0,5.071984786703355,0.0,0.0,0.0,[680.3181792361788],-8.923316388540323,False
0.32,0.0,0.0,10.871654150723547,0.0,0.0,0.0,0.0,0.0,5.409818825974666,0.0,0.0,0.0,[682.0651460273166],-8.912834584927646,False
0.34,0.0,0.0,10.983328770624988,0.0,0.0,0.0,0.0,0.0,5.757643164169345,0.0,0.0,0.0,[690.2282765819417],-8.901667122937502,False
0.36000000000000004,0.0,0.0,11.101949521056623,0.0,0.0,0.0,0.0,0.0,6.104431878994272,0.0,0.0,0.0,[691.9000437476313],-8.889805047894338,False
0.38000000000000006,0.0,0.0,11.227385867142447,0.0,0.0,0.0,0.0,0.0,6.439202729588001,0.0,0.0,0.0,[687.0862957391279],-8.877261413285755,False
0.4000000000000001,0.0,0.0,11.35960321413942,0.0,0.0,0.0,0.0,0.0,6.78253197010945,0.0,0.0,0.0,[694.7188121943308],-8.864039678586057,False
0.4200000000000001,0.0,0.0,11.498656234151177,0.0,0.0,0.0,0.0,0.0,7.122770031066285,0.0,0.0,0.0,[695.5340201758845],-8.850134376584881,False
0.4400000000000001,0.0,0.0,11.64447259618761,0.0,0.0,0.0,0.0,0.0,7.458866172576894,0.0,0.0,0.0,[695.8323361878062],-8.835552740381239,False
0.46000000000000013,0.0,0.0,11.79707494903073,0.0,0.0,0.0,0.0,0.0,7.801369111735141,0.0,0.0,0.0,[702.5030661455829],-8.820292505096926,False
0.48000000000000015,0.0,0.0,11.95647894227699,0.0,0.0,0.0,0.0,0.0,8.139030212890829,0.0,0.0,0.0,[702.67101944892],-8.804352105772303,False
0.5000000000000001,0.0,0.0,12.122801995313099,0.0,0.0,0.0,0.0,0.0,8.493275090720093,0.0,0.0,0.0,[715.4945721067176],-8.787719800468691,False
0.5200000000000001,0.0,0.0,12.296113963488951,0.0,0.0,0.0,0.0,0.0,8.83792172686527,0.0,0.0,0.0,[713.2694867490877],-8.770388603651105,False
0.5400000000000001,0.0,0.0,12.476301542905608,0.0,0.0,0.0,0.0,0.0,9.180836214800483,0.0,0.0,0.0,[715.6700217841695],-8.75236984570944,False
0.5600000000000002,0.0,0.0,12.663155256755603,0.0,0.0,0.0,0.0,0.0,9.50453517019898,0.0,0.0,0.0,[707.9805981904175],-8.73368447432444,False
